# Sweep #00050	3:42:31 PM 1/16/2018
# DAQ: PCI-6221; 16 bits; Timebase 80MHz; Max ADC 250kHz, ETS 20MHz
# Resolutions: Src ADC 0.0uV; Resp ADC 0.0uV
# Max ADC V: Src 0.0V; Resp 0.0V; Repeat 3; Settle 0.080sec
# Waveform Sampling: 25.0 cycles @ 7.5 samples/cycle; no preaveraging
# Signal Generator: Agilent Technologies 33220A Waveform Generator
# Generator:        	                    	                    	Input:              	                    	                    	                    	Response:           	                    	                    	                    
# Freq (Hz)         	Amplitude (V)       	Offset (V)          	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           
6206.801            	0.1500000           	0.000000            	0.1497911           	0.00001306477       	-1.630411           	0.04507186          	0.1777500           	0.00004957094       	-3.134309           	0.01035884          
6529.681            	0.1500000           	0.000000            	0.1497265           	0.00001372843       	-1.802160           	0.02835146          	0.1814173           	0.000008797038      	-3.357274           	0.02597041          
6869.357            	0.1500000           	0.000000            	0.1496849           	0.00002233288       	-1.980143           	0.01330806          	0.1855154           	0.00007270330       	-3.692063           	0.1097170           
7226.702            	0.1500000           	0.000000            	0.1496674           	0.00001827091       	-2.133436           	0.007539670         	0.1903617           	0.000009204138      	-3.988686           	0.02418342          
7602.637            	0.1500000           	0.000000            	0.1496552           	0.00001008168       	-2.367971           	0.02432836          	0.1960157           	0.00004842173       	-4.332869           	0.03450948          
7998.129            	0.1500000           	0.000000            	0.1496607           	0.00001798249       	-2.616985           	0.04555741          	0.2026425           	0.00001642184       	-4.753522           	0.02103580          
8414.194            	0.1500000           	0.000000            	0.1495714           	0.00002414970       	-2.777667           	0.1003407           	0.2105510           	0.00001477939       	-5.228138           	0.04368371          
8851.902            	0.1500000           	0.000000            	0.1495168           	0.00001689025       	-3.154459           	0.01904227          	0.2199514           	0.00007628845       	-5.702219           	0.03406068          
9312.380            	0.05000000          	0.000000            	0.04981304          	0.00002219622       	-3.465069           	0.2458233           	0.07712473          	0.00001317519       	-6.389721           	0.1348114           
9312.380            	0.1500000           	0.000000            	0.1494120           	0.000009389182      	-3.473643           	0.03543884          	0.2314358           	0.00004007211       	-6.268721           	0.04540818          
9423.567            	0.05000000          	0.000000            	0.04976264          	0.00001658765       	-3.602811           	0.09110354          	0.07816227          	0.00008702424       	-6.636463           	0.1210484           
9534.753            	0.05000000          	0.000000            	0.04973246          	0.000006399450      	-3.813086           	0.1432881           	0.07922943          	0.00001360733       	-6.738733           	0.09516566          
9645.940            	0.05000000          	0.000000            	0.04974813          	0.00001443946       	-3.816284           	0.1256781           	0.08036009          	0.00001773186       	-7.000371           	0.05104146          
9757.126            	0.05000000          	0.000000            	0.04974924          	0.00003286570       	-3.962636           	0.04657880          	0.08149352          	0.00002764974       	-7.067567           	0.1296858           
9796.813            	0.1500000           	0.000000            	0.1493247           	0.00004065666       	-3.855299           	0.04988056          	0.2457475           	0.00003372457       	-7.142323           	0.02348894          
9868.313            	0.05000000          	0.000000            	0.04971171          	0.000009486353      	-4.057810           	0.1222809           	0.08267265          	0.00005222453       	-7.263048           	0.1353356           
9979.499            	0.05000000          	0.000000            	0.04975418          	0.00002947152       	-4.147150           	0.07727300          	0.08394058          	0.00004057489       	-7.590959           	0.1743434           
10000.00            	0.05000000          	0.000000            	0.04970856          	0.00004228821       	-4.326077           	0.03717766          	0.08420398          	0.00003426117       	-7.451140           	0.03086705          
10090.69            	0.05000000          	0.000000            	0.04969373          	0.00001804456       	-4.204480           	0.03263345          	0.08516158          	0.00004944164       	-7.654866           	0.07334188          
10201.87            	0.05000000          	0.000000            	0.04965482          	0.00002119115       	-4.289269           	0.1382338           	0.08653618          	0.00001051926       	-7.784151           	0.04336936          
10204.08            	0.05000000          	0.000000            	0.04970078          	0.00001109486       	-4.328130           	0.03746359          	0.08663937          	0.00002840500       	-7.890137           	0.05021866          
10306.45            	0.1500000           	0.000000            	0.1490638           	0.00004003086       	-4.332598           	0.01830470          	0.2637094           	0.00003598950       	-8.069342           	0.03182042          
10313.06            	0.05000000          	0.000000            	0.04972392          	0.000003236123      	-4.333647           	0.03755528          	0.08795804          	0.00001520549       	-8.026089           	0.03118223          
10408.16            	0.05000000          	0.000000            	0.04970130          	0.00002419809       	-4.579442           	0.03986163          	0.08916760          	0.000004412067      	-8.062574           	0.08766503          
10424.25            	0.05000000          	0.000000            	0.04966783          	0.000008939983      	-4.615388           	0.04593513          	0.08939504          	0.00001774097       	-8.134276           	0.07586238          
10535.43            	0.05000000          	0.000000            	0.04967593          	0.00005711370       	-4.749611           	0.08324820          	0.09096828          	0.00003955828       	-8.211178           	0.1253698           
10612.24            	0.05000000          	0.000000            	0.04963103          	0.00001449412       	-4.789013           	0.08194536          	0.09209100          	0.00005265838       	-8.788818           	0.02543161          
10646.62            	0.05000000          	0.000000            	0.04962478          	0.00003229810       	-4.786370           	0.02007340          	0.09254253          	0.00005411364       	-8.718067           	0.05903367          
10757.80            	0.05000000          	0.000000            	0.04963082          	0.00002367998       	-4.983032           	0.1327704           	0.09419040          	0.00005193142       	-8.965583           	0.04423105          
10816.33            	0.05000000          	0.000000            	0.04966584          	0.00004640520       	-5.206083           	0.2403473           	0.09513231          	0.00003640707       	-9.125574           	0.1469684           
10842.59            	0.1500000           	0.000000            	0.1488509           	0.00001620270       	-4.921361           	0.07556258          	0.2867453           	0.00004167602       	-9.185815           	0.01851370          
10868.99            	0.05000000          	0.000000            	0.04958654          	0.000005174579      	-5.077878           	0.1541165           	0.09598749          	0.00002656901       	-9.248184           	0.08818641          
10980.18            	0.05000000          	0.000000            	0.04955914          	0.00003211133       	-5.149430           	0.05639727          	0.09781210          	0.00003193186       	-9.530884           	0.02433656          
11020.41            	0.05000000          	0.000000            	0.04953989          	0.000008094939      	-5.348158           	0.003989432         	0.09852399          	0.00003790517       	-9.618698           	0.1001926           
11091.36            	0.05000000          	0.000000            	0.04954296          	0.000006676259      	-5.355870           	0.1036340           	0.09973031          	0.00002164271       	-9.742595           	0.04640269          
11202.55            	0.05000000          	0.000000            	0.04953041          	0.00001469658       	-5.364050           	0.1306774           	0.1018035           	0.00002377964       	-10.02140           	0.1055132           
11224.49            	0.05000000          	0.000000            	0.04950994          	0.00001945265       	-5.538605           	0.07394912          	0.1021952           	0.00003999687       	-10.20569           	0.1022952           
11313.74            	0.05000000          	0.000000            	0.04947835          	0.00004355052       	-5.706987           	0.09298703          	0.1039107           	0.00001362773       	-10.36379           	0.02081175          
11406.62            	0.1500000           	0.000000            	0.1484236           	0.00001440923       	-5.649047           	0.03101539          	0.3174280           	0.00006428301       	-10.59938           	0.01636207          
11424.92            	0.05000000          	0.000000            	0.04946533          	0.00001832593       	-5.767649           	0.07314609          	0.1061473           	0.00003381563       	-10.63095           	0.07579522          
11428.57            	0.05000000          	0.000000            	0.04946657          	0.00002363243       	-5.770851           	0.04123703          	0.1063187           	0.00001222286       	-10.80489           	0.02532628          
11536.11            	0.05000000          	0.000000            	0.04946577          	0.00003070144       	-6.079552           	0.08136906          	0.1085557           	0.00005937274       	-11.07357           	0.2294246           
11632.65            	0.05000000          	0.000000            	0.04938137          	0.000009678055      	-6.111271           	0.06183038          	0.1106319           	0.00002562085       	-11.33360           	0.02541092          
11647.30            	0.05000000          	0.000000            	0.04939103          	0.00002993998       	-6.139589           	0.06702645          	0.1109747           	0.00003845823       	-11.29465           	0.1120179           
11758.48            	0.05000000          	0.000000            	0.04933504          	0.00004075445       	-6.438048           	0.06468797          	0.1136383           	0.00001955458       	-11.63784           	0.09167568          
11836.73            	0.05000000          	0.000000            	0.04925370          	0.000007528004      	-6.461506           	0.05321411          	0.1154590           	0.00004152939       	-12.09819           	0.08343812          
11869.67            	0.05000000          	0.000000            	0.04930998          	0.00002265220       	-6.459782           	0.07610504          	0.1164102           	0.00003566523       	-11.95640           	0.1073226           
11980.86            	0.05000000          	0.000000            	0.04925708          	0.00001648347       	-6.660796           	0.04287348          	0.1193250           	0.00001770661       	-12.56323           	0.06330313          
12000.00            	0.1500000           	0.000000            	0.1478185           	0.00002745996       	-6.535009           	0.002912450         	0.3597464           	0.00001425444       	-12.59774           	0.02558805          
