S V (kV) Scaled r (m^2)
S
9	4.902361964726799e-12
9	5.008935050916512e-12
9	5.008935050916512e-12
8	5.115508137106225e-12
8	5.115508137106225e-12
8	5.222081223295939e-12
7	5.541800481865078e-12
7	5.435227395675364e-12
7	5.541800481865078e-12
6	5.968092826623928e-12
6	5.8615197404342165e-12
6	6.0746659128136425e-12
5	6.394385171382782e-12
5	6.2878120851930684e-12
5	6.500958257572494e-12
9.	4.55962375092507e-12
9.	4.676537180435969e-12
9.	4.793450609946867e-12
8.	5.027277468968666e-12
8.	5.144190898479568e-12
8.	5.027277468968666e-12
7.	5.378017757501364e-12
7.	5.2611043279904655e-12
7.	5.378017757501364e-12
6.	5.845671475544962e-12
6.	5.728758046034063e-12
6.	5.845671475544962e-12
9.	4.6574999999999995e-12
9.	4.75875e-12
9.	4.75875e-12
8.	5.2650000000000015e-12
8.	5.16375e-12
8.	5.16375e-12
7.	5.56875e-12
7.	5.4675e-12
7.	5.4675e-12
6.	6.075e-12
6.	5.9737500000000005e-12
6.	6.075e-12
9.	4.653646503683966e-12
9.	4.725241065279104e-12
9.	4.5820519420888274e-12
8.	5.011619311659655e-12
8.	4.940024750064518e-12
8.	5.011619311659655e-12
7.	5.369592119635345e-12
7.	5.369592119635345e-12
7.	5.297997558040207e-12
6.	5.870754050801309e-12
6.	5.799159489206174e-12
6.	5.870754050801309e-12
